000000 000000 [hunk] lha start:002000 end:00ef60
000001 000001 [args] e skid.lha_
000002 000002 [home] .
000003 000003 [mem] 00000000 R l 000000 00001600 000004 ZERO
000004 002000: 2448                : movea.l A0, A2
000005 002002: 2400                : move.l  D0, D2
000006 002004: 4232 2000           : clr.b   (A2,D2.w)
000021 002008: 6000 0046           : bra     $2050
000022 002050: 49f9 0000 e9f4      : lea     $e9f4.l, A4
000023 002056: 2c78 0004           : movea.l $4.w, A6
000024 00205a: 2f02                : move.l  D2, -(A7)
000025 00205c: 48e7 00e0           : movem.l A0-A2, -(A7)
000078 002060: 266e 0114           : movea.l ($114,A6), A3
000079 000079 [read32] 801114,0080c000
00007a 002064: 222b 00ac           : move.l  ($ac,A3), D1
00007b 00007b [read32] 80c0ac,00810000
00007c 002068: 6700 0180           : beq     $21ea
00007d 00206c: e589                : lsl.l   #2, D1
00007e 00206e: 2041                : movea.l D1, A0
0000bf 002070: 2228 0034           : move.l  ($34,A0), D1
0000c0 002074: e589                : lsl.l   #2, D1
0000c1 002076: 4bfa ff94           : lea     (-$6c,PC), A5; ($200c)
0000c2 00207a: 7400                : moveq   #$0, D2
0000c3 00207c: 203c 0000 0e1c      : move.l  #$e1c, D0
0000c4 002082: b295                : cmp.l   (A5), D1
00010b 002084: 6406                : bcc     $208c
00010c 002086: 2215                : move.l  (A5), D1
00010d 002088: d081                : add.l   D1, D0
00010e 00208a: 7401                : moveq   #$1, D2
00010f 00208c: 2641                : movea.l D1, A3
000110 00208e: 223c 0001 0001      : move.l  #$10001, D1
000111 002094: 4eae ff3a           : jsr     (-$c6,A6)
000152 800f3a: 4e75                : rts
000153 000153 [exec] allocMem 1dbc,10001 => 40000
000154 002098: 4a80                : tst.l   D0
000155 00209a: 6608                : bne     $20a4
000156 0020a4: 2040                : movea.l D0, A0
000157 0020a6: 2440                : movea.l D0, A2
000158 0020a8: 2240                : movea.l D0, A1
000159 0020aa: 203c 0000 012a      : move.l  #$12a, D0
00015a 0020b0: 99fc 0000 0000      : suba.l  #$0, A4
0001a1 0020b6: 20dc                : move.l  (A4)+, (A0)+
0001a2 0020b8: 5380                : subq.l  #1, D0
0001a3 0020ba: 66fa                : bne     $20b6
0001a4 0020b6: 20dc                : move.l  (A4)+, (A0)+
0001a5 0020b8: 5380                : subq.l  #1, D0
